JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
7316,0,,,,,,,,,,,,
8005,0,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000
8006,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8007,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8008,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8008,12,,,,,,,,,,,,
8009,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8010,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8011,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8012,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8013,0,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000,-641.0000
8025,0,,,,,,,,,,,,
8030,0,,,,,,,,,,,,
8031,0,,,,,,,,,,,,
8050,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8051,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8052,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8053,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8054,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8055,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8056,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8057,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8058,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8059,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8060,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8061,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8062,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8063,0,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
