MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,4090,2017,Supplies,1055
10.0000,10.0000,12.0000,14.0000,16.0000,18.0000,21.0000,23.0000,26.0000,29.0000,32.0000,35.0000,39.0000,4022,2017,Other,1055
20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,4022,2016,Other,1055
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4060,2016,Other,1055
136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,4090,2016,Supplies,1055
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,4001,2016,Other,1055
8.0000,8.0000,9.0000,9.0000,10.0000,10.0000,11.0000,11.0000,12.0000,12.0000,13.0000,13.0000,14.0000,4070,2017,Other,1055
20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,4021,2016,Other,1055
4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4003,2016,Other,1055
2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4003,2017,Other,1055
43.0000,43.0000,43.0000,44.0000,44.0000,45.0000,44.0000,44.0000,43.0000,43.0000,41.0000,40.0000,39.0000,4021,2017,Other,1055
34.0000,34.0000,33.0000,32.0000,31.0000,30.0000,29.0000,28.0000,27.0000,26.0000,25.0000,24.0000,23.0000,4020,2017,Sub-contracted Labor,1055
649.0000,649.0000,646.0000,644.0000,641.0000,638.0000,635.0000,633.0000,630.0000,627.0000,625.0000,622.0000,619.0000,4000,2017,Other,1055
876.0000,876.0000,873.0000,869.0000,865.0000,862.0000,858.0000,854.0000,851.0000,847.0000,843.0000,840.0000,836.0000,4000,2017,Other,1056
47.0000,47.0000,45.0000,44.0000,42.0000,41.0000,39.0000,38.0000,37.0000,35.0000,34.0000,32.0000,31.0000,4020,2017,Sub-contracted Labor,1056
58.0000,58.0000,59.0000,60.0000,60.0000,60.0000,60.0000,60.0000,59.0000,58.0000,56.0000,54.0000,52.0000,4021,2017,Other,1056
78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,78.0000,4020,2016,Sub-contracted Labor,1056
2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4003,2017,Other,1056
6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,4003,2016,Other,1056
27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,4021,2016,Other,1056
11.0000,11.0000,12.0000,13.0000,13.0000,14.0000,15.0000,15.0000,16.0000,17.0000,17.0000,18.0000,18.0000,4070,2017,Other,1056
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4001,2016,Other,1056
9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,4060,2016,Other,1056
27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,27.0000,4022,2016,Other,1056
14.0000,14.0000,16.0000,19.0000,22.0000,25.0000,28.0000,32.0000,35.0000,39.0000,43.0000,48.0000,52.0000,4022,2017,Other,1056
58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,4090,2017,Supplies,1056
58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,4090,2016,Supplies,1056
653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,4090,2017,Supplies,1057
46.0000,46.0000,55.0000,64.0000,74.0000,84.0000,95.0000,107.0000,120.0000,133.0000,147.0000,162.0000,177.0000,4022,2017,Other,1057
92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,4022,2016,Other,1057
31.0000,31.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,436.0000,4060,2016,Other,1057
653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,4090,2016,Supplies,1057
38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,38.0000,4001,2016,Other,1057
38.0000,38.0000,40.0000,43.0000,45.0000,47.0000,50.0000,52.0000,54.0000,56.0000,58.0000,61.0000,63.0000,4070,2017,Other,1057
92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,92.0000,4021,2016,Other,1057
33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,4003,2016,Other,1057
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4003,2017,Other,1057
