ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
122076,5011,2691,1/14/2017,1,5,1,5.48,12/30/1899 7:59:00 AM,12/30/1899 1:58:00 PM,0.5,0,,0,,0,0,
122077,5011,2743,1/14/2017,1,5,1,0,,12/30/1899 1:09:00 PM,0,0,,0,,0,0,
122078,5011,2948,1/14/2017,1,5,1,0,,12/30/1899 3:30:00 PM,0,0,,0,,0,0,
122079,1055,2950,1/14/2017,1,5,1,3.02,12/30/1899 1:30:00 PM,12/30/1899 4:31:00 PM,0,0,,0,,0,0,
122080,1066,3259,1/14/2017,1,5,1,8.35,12/30/1899 8:39:00 AM,12/30/1899 6:00:00 PM,1,0,,0,,0,0,
122081,5011,3318,1/14/2017,1,5,1,8.02,12/30/1899 6:30:00 AM,12/30/1899 3:01:00 PM,0.5,0,,0,,0,0,
122082,1058,1366,1/14/2017,1,5,1,8.65,12/30/1899 9:54:00 AM,12/30/1899 7:33:00 PM,1,0,,0,,0,0,
122083,5011,2359,1/14/2017,1,5,1,7.73,12/30/1899 5:47:00 PM,12/30/1899 2:01:00 AM,0.5,0,,0,,0,0,
122084,5011,2370,1/14/2017,1,5,1,8.05,12/30/1899 3:30:00 PM,12/30/1899 12:03:00 AM,0.5,0,,0,,0,0,
122085,5011,2767,1/14/2017,1,5,1,8.03,12/30/1899 5:28:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
122086,5011,2856,1/14/2017,1,5,1,8.05,12/30/1899 5:27:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
122087,5011,2948,1/14/2017,1,5,2,9.52,12/30/1899 3:30:00 PM,12/30/1899 2:01:00 AM,1,0,,0,,0,0,
122088,3045,3025,1/14/2017,1,5,1,0,12/30/1899 7:33:00 PM,12/30/1899 7:33:00 PM,0,0,,0,,0,0,
122089,5011,3119,1/14/2017,1,5,1,8.05,12/30/1899 5:27:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
122090,5014,9006,1/14/2017,38,8,1,6.9,12/30/1899 3:47:00 PM,12/30/1899 10:41:00 PM,0,0,,0,,0,0,
122091,5014,9007,1/14/2017,38,8,1,6.55,12/30/1899 4:43:00 PM,12/30/1899 11:16:00 PM,0,0,,0,,0,0,
122092,5014,9013,1/14/2017,38,8,1,9.88,12/30/1899 1:48:00 PM,12/30/1899 11:41:00 PM,0,0,,0,,0,0,
122093,5014,9017,1/14/2017,38,8,1,8.2,12/30/1899 2:45:00 PM,12/30/1899 10:57:00 PM,0,0,,0,,0,0,
122094,5014,9026,1/14/2017,38,8,1,5.2,12/30/1899 5:46:00 PM,12/30/1899 10:58:00 PM,0,0,,0,,0,0,
122095,5014,9056,1/14/2017,38,8,1,6.77,12/30/1899 4:15:00 PM,12/30/1899 11:01:00 PM,0,0,,0,,0,0,
